"Y_L93","X_L93",""
"650761.441279 6860540.375468","","Paris"
"931604.928266 6895784.475699","","Metz"
"654529.197152 6665164.555791","","Bourges"
"778964.405736 6799554.581061","","Troyes"
"496081.698222 6612279.592143","","Poitiers"
"441330.206445 6515634.913476","","Cognac"
"843670.714200 6317782.931828","","Avignon"
"561617.574743 6928345.021945","","Rouen"
"432619.741844 6714316.463180","","Angers"
